date,gamePk,status,result,model_prob,lab,pitcher_gap,kbb_diff,gb_pick,babip_pick,off_delta_diff,bullpen_gap
2026-07-18,824657,watchlist,L,0.5113,72,9,0.0075,0.3871,0.2745,0.112,-3
2026-07-18,824979,watchlist,L,0.6142,72,-10,-0.0276,0.3913,0.2509,0.316,33
2026-07-18,824738,watchlist,W,0.7184,69,6,0.0216,0.125,0.3846,0.164,-8
2026-07-18,824169,pass,W,0.5572,58,2,-0.0044,0.4124,0.2841,0.008,-12
2026-07-18,825059,pass,W,0.5654,51,-7,-0.0572,0.5517,0.2795,0.042,-10
2026-07-18,823763,pass,W,0.6059,48,-7,-0.0139,0.482,0.2959,-0.138,-9
2026-07-18,823441,pass,W,0.6284,45,12,0.0661,0.6,0.3309,-0.163,2
2026-07-18,824412,pass,L,0.5179,36,-10,,,,0.1,0
2026-07-18,824414,pass,L,0.5101,35,7,0.0165,0.5544,0.2846,-0.1,0
2026-07-18,824331,pass,W,0.5007,33,7,-0.0059,0.4213,0.2677,-0.084,-20
2026-07-19,824007,official_pick,L,0.8011,92,43,0.1136,0.3826,0.266,0.021,26
2026-07-19,824978,official_pick,W,0.741,90,52,0.1521,0.5161,0.2421,0.19,11
2026-07-19,824330,value_watch,L,0.514,84,15,-0.225,0.5255,0.2554,-0.168,12
2026-07-19,825057,watchlist,W,0.6338,72,11,-0.0151,0.468,0.2485,0.126,-30
2026-07-19,824739,watchlist,W,0.7068,70,3,0.0072,0.5185,0.2731,0.139,4
2026-07-19,824168,watchlist,W,0.5663,70,5,-0.0119,0.4556,0.2925,-0.012,3
2026-07-19,824897,watchlist,W,0.639,68,-5,-0.1046,0.456,0.251,0.079,-8
2026-07-19,823439,pass,L,0.5522,64,-16,-0.0391,0.4286,0.3,-0.11,-1
2026-07-19,824411,pass,W,0.548,64,12,0.1107,0.4555,0.2857,0.056,-22
2026-07-19,823523,pass,L,0.5005,52,4,0.0482,0.4769,0.2595,0.191,1
2026-07-19,823764,pass,W,0.5778,46,-15,-0.0305,0.3191,0.2734,-0.084,4
2026-07-19,824086,pass,L,0.535,44,10,0.0953,0.433,0.3227,0.121,-2
2026-07-19,824653,pass,W,0.5841,28,8,0.0472,0.4354,0.2571,-0.09,0
2026-07-19,823113,pass,W,0.5722,24,11,0.1258,0.3915,0.2613,-0.105,-23
2026-07-19,823521,pass,L,0.5045,22,0,,,,-0.191,-1
2026-07-20,824328,value_watch,W,0.6666,91,19,-0.0055,0.6744,0.3534,0.162,28
2026-07-20,823762,official_pick,W,0.755,81,30,0.203,0.5031,0.2286,-0.116,-42
2026-07-20,824736,value_watch,W,0.7017,78,15,0.0635,0.3395,0.2615,0.077,-14
2026-07-20,824898,value_watch,W,0.6462,78,15,0.0194,0.4725,0.2727,0.01,-6
2026-07-20,824167,watchlist,L,0.5281,72,8,0.1123,0.4823,0.295,0.04,11
2026-07-20,822874,watchlist,W,0.5407,69,-20,-0.1853,0.4673,0.2764,-0.125,39
2026-07-20,823112,pass,W,0.5769,64,8,0.0835,0.5261,0.3427,-0.198,-16
2026-07-20,825058,pass,L,0.7957,59,-15,-0.1807,0.6,0.2105,0.118,-23
2026-07-20,824654,pass,L,0.5402,55,-4,-0.0309,0.3768,0.2459,0.002,22
2026-07-20,824087,pass,W,0.53,42,13,0.0139,0.4426,0.2798,0.125,-31
2026-07-20,824006,pass,L,0.5213,34,-5,-0.0248,0.5138,0.3194,-0.101,-2
2026-07-21,824005,value_watch,W,0.6161,85,14,-0.0358,0.5741,0.2569,0.115,8
2026-07-21,824165,value_watch,L,0.6205,81,18,-0.064,0.5466,0.276,-0.065,7
2026-07-21,822787,value_watch,W,0.5712,76,13,0.0279,0.5436,0.25,0.034,-1
2026-07-21,824652,value_watch,L,0.5467,76,24,0.0223,0.5696,0.2923,-0.02,-26
2026-07-21,824895,watchlist,L,0.7311,74,14,-0.0071,0.4524,0.2632,0.002,-18
2026-07-21,824329,watchlist,L,0.6537,67,6,0.157,0.3333,0.4231,0.2,0
2026-07-21,825056,watchlist,W,0.7541,67,8,-0.1856,,,0.087,-22
2026-07-21,823760,pass,L,0.6776,60,-23,-0.0129,0.4931,0.29,-0.047,-26
2026-07-21,822871,pass,L,0.532,57,-12,-0.04,0.4434,0.2536,-0.118,29
2026-07-21,823437,pass,W,0.5368,50,-4,-0.1095,0.4163,0.2508,-0.121,11
2026-07-21,824085,pass,W,0.5173,36,-6,-0.0572,0.5619,0.3333,0.165,5
2026-07-21,823114,pass,L,0.5166,17,-23,-0.0602,0.4481,0.3089,-0.152,-14
2026-07-22,823110,value_watch,L,0.6615,91,20,0.0577,0.4375,0.2471,-0.139,-12
2026-07-22,824735,official_pick,W,0.7296,81,13,-0.0707,0.4828,0.2333,0.045,-4
2026-07-22,825055,value_watch,L,0.5191,80,15,0.1256,0.3763,0.3404,-0.053,3
2026-07-22,822784,value_watch,W,0.6665,77,7,0.0235,0.5072,0.2947,0.09,6
2026-07-22,824732,watchlist,L,0.6053,68,-1,0.0156,0.5556,0.1818,0.038,-4
2026-07-22,822873,pass,W,0.5843,61,5,-0.0608,0.48,0.2821,-0.173,10
2026-07-22,823438,pass,W,0.5853,60,5,-0.1,0.339,0.2325,-0.139,17
2026-07-22,823761,pass,W,0.6543,58,5,0.0604,0.3276,0.2658,-0.063,-30
2026-07-22,824650,pass,L,0.5801,58,-22,-0.0319,0.5256,0.3003,0.05,45
2026-07-22,824166,pass,W,0.5507,53,6,0.0219,0.3911,0.235,0.037,-10
2026-07-22,824004,pass,L,0.5626,47,12,0.0636,0.3791,0.2784,0.135,6
2026-07-22,824408,pass,L,0.5779,46,-6,-0.0081,0.5167,0.3158,0.133,-1
2026-07-22,823518,pass,L,0.6096,34,12,0.0922,0.3611,0.2848,-0.034,-16
2026-07-22,823519,pass,W,0.533,32,24,0.0579,0.4921,0.2515,-0.029,-16
2026-07-22,824327,pass,W,0.5644,26,-2,0.0309,0.5538,0.3416,0.172,-5
2026-07-22,824083,pass,L,0.5131,24,6,0.0281,0.6031,0.293,-0.124,-6
2026-07-22,824896,pass,W,0.5489,18,-5,-0.0198,0.5407,0.2434,-0.098,-4
