date,market,matchup,pick,price_taken,result
2026-07-06,total,"Toronto Blue Jays@San Francisco Giants","Over 7.5",-115,W
2026-07-06,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-250,W
2026-07-06,total,"Colorado Rockies@Los Angeles Dodgers","Over 9",-118,W
2026-07-06,run_line,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers -1.5",-114,L
2026-07-07,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",-119,W
2026-07-07,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-130,L
2026-07-07,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",113,W
2026-07-07,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-148,W
2026-07-07,moneyline,"Los Angeles Angels@Texas Rangers","Texas Rangers",-146,W
2026-07-07,moneyline,"Arizona Diamondbacks@San Diego Padres","Arizona Diamondbacks",133,L
2026-07-07,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",-119,W
2026-07-07,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-130,L
2026-07-07,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",113,W
2026-07-07,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-212,L
2026-07-07,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-148,W
2026-07-07,moneyline,"Los Angeles Angels@Texas Rangers","Texas Rangers",-146,W
2026-07-07,moneyline,"Arizona Diamondbacks@San Diego Padres","Arizona Diamondbacks",133,L
2026-07-07,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",-119,W
2026-07-07,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-130,L
2026-07-07,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",113,W
2026-07-07,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-212,L
2026-07-07,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-148,W
2026-07-07,moneyline,"Los Angeles Angels@Texas Rangers","Texas Rangers",-146,W
2026-07-07,moneyline,"Arizona Diamondbacks@San Diego Padres","Arizona Diamondbacks",133,L
2026-07-07,moneyline,"Seattle Mariners@Miami Marlins","Miami Marlins",-119,W
2026-07-07,moneyline,"Houston Astros@Washington Nationals","Washington Nationals",-130,L
2026-07-07,moneyline,"Boston Red Sox@Chicago White Sox","Boston Red Sox",113,W
2026-07-07,moneyline,"Colorado Rockies@Los Angeles Dodgers","Los Angeles Dodgers",-212,L
2026-07-07,moneyline,"Athletics@Detroit Tigers","Detroit Tigers",-148,W
2026-07-07,moneyline,"Los Angeles Angels@Texas Rangers","Texas Rangers",-146,W
2026-07-07,moneyline,"Arizona Diamondbacks@San Diego Padres","Arizona Diamondbacks",133,L
